basket_file,basket,year,pnl,max_dd,worst_1d,worst_5d,worst_20d,ttr_median,ttr_p90,ttr_max,n_days
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2024,377.42955382,-180.89228747000013,-36.0,-94.75737193999998,-136.62899043000002,17.0,67.0,81.0,358
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP3_BY_POST_RATIO_daily.parquet,basket_TOP3_BY_POST_RATIO,2025,678.85591957,-153.07936207000012,-45.0,-84.58158385,-131.1210637,5.5,42.5,56.0,225
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2018,442.0965430914327,-179.65287600151106,-49.0,-97.49999999999999,-154.3456193055647,11.0,38.099999999999994,62.0,305
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2019,658.913487582232,-233.9081541979531,-45.0,-72.32045711891378,-154.7357887118419,14.5,114.70000000000002,141.0,310
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2020,32.695775595845504,-229.09856279196984,-33.0,-116.0,-176.66123464815118,47.5,130.3,151.0,255
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2021,555.5978074420735,-400.6250659289085,-49.929461523176926,-110.48933977788673,-236.2209949813509,5.0,17.0,25.0,347
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2022,748.2859409191117,-259.8186810240558,-65.41604935647646,-109.99392672068981,-205.9110460755822,29.5,130.10000000000002,161.0,353
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2023,1119.6850493001866,-319.71401746000004,-49.09284445,-119.63615214,-252.27753948999998,18.0,83.20000000000002,110.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2024,525.37738252,-241.83949384000007,-44.0,-97.34437314,-165.56015367,30.0,92.0,108.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_PNL_daily.parquet,basket_TOP5_BY_POST_PNL,2025,878.27982215,-171.03649904999997,-49.0,-103.68632215,-125.58059258,6.0,35.8,48.0,227
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2018,442.0965430914327,-179.65287600151106,-49.0,-97.49999999999999,-154.3456193055647,11.0,38.099999999999994,62.0,305
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2019,658.913487582232,-233.9081541979531,-45.0,-72.32045711891378,-154.7357887118419,14.5,114.70000000000002,141.0,310
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2020,32.695775595845504,-229.09856279196984,-33.0,-116.0,-176.66123464815118,47.5,130.3,151.0,255
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2021,555.5978074420735,-400.6250659289085,-49.929461523176926,-110.48933977788673,-236.2209949813509,5.0,17.0,25.0,347
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2022,748.2859409191117,-259.8186810240558,-65.41604935647646,-109.99392672068981,-205.9110460755822,29.5,130.10000000000002,161.0,353
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2023,1119.6850493001866,-319.71401746000004,-49.09284445,-119.63615214,-252.27753948999998,18.0,83.20000000000002,110.0,363
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2024,525.37738252,-241.83949384000007,-44.0,-97.34437314,-165.56015367,30.0,92.0,108.0,365
reports/bfsp/uk/greyhound/win/track_baskets/basket_TOP5_BY_POST_RATIO_daily.parquet,basket_TOP5_BY_POST_RATIO,2025,878.27982215,-171.03649904999997,-49.0,-103.68632215,-125.58059258,6.0,35.8,48.0,227
