variant,train_mode,top_n,band_rule,min_train_bets,months,total_bets,total_pnl,max_dd,profit_dd_ratio,ttr_p90_days,ttr_max_days,worst_20d
mode=rolling_24m|topN=3|band=none|minbets=200,rolling_24m,3,none,200,50,73890,2654.3444166675927,-812.0800721399985,3.2685747474049545,46.800000000000026,408.0,-354.4863356200001
mode=rolling_24m|topN=3|band=none|minbets=500,rolling_24m,3,none,500,50,73890,2654.3444166675927,-812.0800721399985,3.2685747474049545,46.800000000000026,408.0,-354.4863356200001
mode=rolling_24m|topN=3|band=none|minbets=1000,rolling_24m,3,none,1000,50,73890,2654.3444166675927,-812.0800721399985,3.2685747474049545,46.800000000000026,408.0,-354.4863356200001
mode=rolling_24m|topN=3|band=exclude_worst_if_negative|minbets=200,rolling_24m,3,exclude_worst_if_negative,200,50,72642,2389.734887827196,-812.080072139999,2.9427330749906844,63.99999999999994,408.0,-354.4863356200001
mode=rolling_24m|topN=3|band=exclude_worst_if_negative|minbets=500,rolling_24m,3,exclude_worst_if_negative,500,50,72642,2389.734887827196,-812.080072139999,2.9427330749906844,63.99999999999994,408.0,-354.4863356200001
mode=rolling_24m|topN=3|band=exclude_worst_if_negative|minbets=1000,rolling_24m,3,exclude_worst_if_negative,1000,50,72642,2389.734887827196,-812.080072139999,2.9427330749906844,63.99999999999994,408.0,-354.4863356200001
mode=rolling_24m|topN=5|band=exclude_worst_always|minbets=200,rolling_24m,5,exclude_worst_always,200,50,76301,2291.393253109368,-687.741567759999,3.3317649543454593,38.300000000000004,356.0,-311.2146180999998
mode=rolling_24m|topN=5|band=exclude_worst_always|minbets=500,rolling_24m,5,exclude_worst_always,500,50,76301,2291.393253109368,-687.741567759999,3.3317649543454593,38.300000000000004,356.0,-311.2146180999998
mode=rolling_24m|topN=5|band=exclude_worst_always|minbets=1000,rolling_24m,5,exclude_worst_always,1000,50,76301,2291.393253109368,-687.741567759999,3.3317649543454593,38.300000000000004,356.0,-311.2146180999998
mode=expanding|topN=2|band=none|minbets=200,expanding,2,none,200,50,59352,2254.2198749746676,-888.2634030900019,2.537783125065057,28.0,202.0,-374.84648676000006
mode=expanding|topN=2|band=none|minbets=500,expanding,2,none,500,50,59352,2254.2198749746676,-888.2634030900019,2.537783125065057,28.0,202.0,-374.84648676000006
mode=expanding|topN=2|band=none|minbets=1000,expanding,2,none,1000,50,59352,2254.2198749746676,-888.2634030900019,2.537783125065057,28.0,202.0,-374.84648676000006
mode=expanding|topN=2|band=exclude_worst_if_negative|minbets=200,expanding,2,exclude_worst_if_negative,200,50,59352,2254.2198749746676,-888.2634030900019,2.537783125065057,28.0,202.0,-374.84648676000006
mode=expanding|topN=2|band=exclude_worst_if_negative|minbets=500,expanding,2,exclude_worst_if_negative,500,50,59352,2254.2198749746676,-888.2634030900019,2.537783125065057,28.0,202.0,-374.84648676000006
mode=expanding|topN=2|band=exclude_worst_if_negative|minbets=1000,expanding,2,exclude_worst_if_negative,1000,50,59352,2254.2198749746676,-888.2634030900019,2.537783125065057,28.0,202.0,-374.84648676000006
mode=expanding|topN=3|band=exclude_worst_always|minbets=200,expanding,3,exclude_worst_always,200,50,53612,2237.9503258496416,-746.6702716399991,2.9972404297470825,42.199999999999974,551.0,-360.57238487999996
mode=expanding|topN=3|band=exclude_worst_always|minbets=500,expanding,3,exclude_worst_always,500,50,53612,2237.9503258496416,-746.6702716399991,2.9972404297470825,42.199999999999974,551.0,-360.57238487999996
mode=expanding|topN=3|band=exclude_worst_always|minbets=1000,expanding,3,exclude_worst_always,1000,50,53612,2237.9503258496416,-746.6702716399991,2.9972404297470825,42.199999999999974,551.0,-360.57238487999996
mode=rolling_24m|topN=3|band=exclude_worst_always|minbets=200,rolling_24m,3,exclude_worst_always,200,50,48233,1861.0489287073829,-1020.037026960001,1.8244915424823698,23.200000000000017,766.0,-349.79674759999995
mode=rolling_24m|topN=3|band=exclude_worst_always|minbets=500,rolling_24m,3,exclude_worst_always,500,50,48233,1861.0489287073829,-1020.037026960001,1.8244915424823698,23.200000000000017,766.0,-349.79674759999995
mode=rolling_24m|topN=3|band=exclude_worst_always|minbets=1000,rolling_24m,3,exclude_worst_always,1000,50,48233,1861.0489287073829,-1020.037026960001,1.8244915424823698,23.200000000000017,766.0,-349.79674759999995
mode=expanding|topN=5|band=exclude_worst_always|minbets=200,expanding,5,exclude_worst_always,200,50,87500,1487.6910409041282,-1080.6505249600013,1.376662488512827,27.900000000000023,218.0,-448.78002374000005
mode=expanding|topN=5|band=exclude_worst_always|minbets=500,expanding,5,exclude_worst_always,500,50,87500,1487.6910409041282,-1080.6505249600013,1.376662488512827,27.900000000000023,218.0,-448.78002374000005
mode=expanding|topN=5|band=exclude_worst_always|minbets=1000,expanding,5,exclude_worst_always,1000,50,87500,1487.6910409041282,-1080.6505249600013,1.376662488512827,27.900000000000023,218.0,-448.78002374000005
mode=rolling_24m|topN=2|band=exclude_worst_always|minbets=200,rolling_24m,2,exclude_worst_always,200,50,32405,1343.1956924672354,-679.8513153399998,1.9757197818989156,73.69999999999999,208.0,-265.18109555999996
