event_date,pnl,n_bets,equity,month,rule_top_tracks,rule_worst_band,equity_global
2022-05-07,-9.104144086953603,68,54.598850913745515,2022-05,"Harlow,Romford,Towcester",10-12,515.1446759476906
2022-05-08,3.4237013853312135,36,58.02255229907673,2022-05,"Harlow,Romford,Towcester",10-12,518.5683773330219
2022-05-09,9.156490479049225,42,67.17904277812596,2022-05,"Harlow,Romford,Towcester",10-12,527.7248678120711
2022-05-10,62.878440337036736,34,130.0574831151627,2022-05,"Harlow,Romford,Towcester",10-12,590.6033081491079
2022-05-11,59.0,30,189.0574831151627,2022-05,"Harlow,Romford,Towcester",10-12,649.6033081491079
2022-05-12,-8.0,40,181.0574831151627,2022-05,"Harlow,Romford,Towcester",10-12,641.6033081491079
2022-05-13,-7.0,36,174.0574831151627,2022-05,"Harlow,Romford,Towcester",10-12,634.6033081491079
2022-05-14,0.9952493325783927,58,175.0527324477411,2022-05,"Harlow,Romford,Towcester",10-12,635.5985574816863
2022-05-15,34.75709002848714,52,209.80982247622825,2022-05,"Harlow,Romford,Towcester",10-12,670.3556475101734
2022-05-16,29.278839175589393,32,239.08866165181763,2022-05,"Harlow,Romford,Towcester",10-12,699.6344866857628
2022-05-17,-42.0,42,197.08866165181763,2022-05,"Harlow,Romford,Towcester",10-12,657.6344866857628
2022-05-18,-5.684055342775977,44,191.40460630904164,2022-05,"Harlow,Romford,Towcester",10-12,651.9504313429868
2022-05-19,-20.0,44,171.40460630904164,2022-05,"Harlow,Romford,Towcester",10-12,631.9504313429868
2022-05-20,13.531569872865802,50,184.93617618190746,2022-05,"Harlow,Romford,Towcester",10-12,645.4820012158526
2022-05-21,-39.76719741492066,90,145.1689787669868,2022-05,"Harlow,Romford,Towcester",10-12,605.7148038009319
2022-05-22,-3.0,34,142.1689787669868,2022-05,"Harlow,Romford,Towcester",10-12,602.7148038009319
2022-05-23,-12.415491701202836,42,129.753487065784,2022-05,"Harlow,Romford,Towcester",10-12,590.299312099729
2022-05-24,-12.0,40,117.75348706578399,2022-05,"Harlow,Romford,Towcester",10-12,578.299312099729
2022-05-25,24.34328010729717,14,142.09676717308116,2022-05,"Harlow,Romford,Towcester",10-12,602.6425922070262
