sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
39,-507.6183888037114,-1092.1927268647423,-213.97930463000003,1,1,1,1,0,0,0
40,-578.315289654265,-1434.036148306098,-245.30612481291212,1,1,1,0,0,0,0
41,1287.497327319038,-558.9612517358464,-223.79828509784627,0,0,0,0,0,0,0
42,-1421.5803207098043,-1825.4385206942184,-230.9097358547185,1,1,1,1,1,0,0
43,-145.90358679514614,-1278.875583791995,-223.66679630685746,1,1,1,1,1,0,0
44,-1376.0718199180578,-1506.030048488946,-238.16215729958046,1,1,1,1,1,0,0
45,-1874.5745525773,-1994.6296434572998,-223.79828509784622,1,1,1,1,1,1,0
46,-118.32837191302684,-1154.9542272249428,-213.97930463000003,1,1,1,1,0,0,0
47,391.2208521610846,-1015.4620507197935,-223.7982850978463,1,1,0,0,0,0,0
48,-784.4196638716858,-871.8661649069184,-222.97585359,1,1,1,1,0,0,0
49,-169.73821015568805,-1086.4377152908287,-223.79828509784625,1,1,1,1,1,0,0
50,-1193.3639735166348,-2060.558821791703,-223.66679630685746,1,1,1,1,1,1,0
51,-1291.728195751671,-1583.6510959717366,-213.97930463,1,1,1,1,1,0,0
52,-95.5087783505351,-1663.1371806053478,-210.21547191171845,1,1,1,1,1,1,0
53,1194.6927005677564,-909.1794092104064,-238.1621572995804,0,0,0,0,0,0,0
54,954.6958215202852,-484.26632931302913,-210.21547191171854,0,0,0,0,0,0,0
55,1589.486984115068,-481.2103063577521,-213.97930463,1,1,0,0,0,0,0
56,1324.4757994278625,-1221.2309710148538,-223.6667963068575,1,1,1,0,0,0,0
57,-507.73481067204074,-1155.2728375460354,-230.90973585471846,1,1,1,0,0,0,0
58,-1174.0125045682605,-1504.7314975378008,-223.79828509784633,1,1,1,1,1,0,0
59,-458.99446316037387,-966.9313323346029,-245.30612481291215,1,1,1,0,0,0,0
60,787.48208918109,-697.009155165488,-213.97930463000003,0,0,0,0,0,0,0
61,693.1948080093724,-792.5762084064543,-213.97930463,0,0,0,0,0,0,0
62,-180.97045972685046,-1281.0383371105836,-213.97930463000003,1,1,0,0,0,0,0
63,-99.27540262496927,-878.4425285804248,-213.97930463000006,1,1,0,0,0,0,0
64,203.43988290312143,-933.9457567849497,-213.97930462999997,1,1,1,1,0,0,0
65,569.0902709455668,-982.3794846725448,-213.97930463000006,1,1,1,1,0,0,0
66,-359.4523176333634,-1402.1875006749444,-230.90973585471846,1,1,1,0,0,0,0
67,306.35251826318574,-847.4655141304254,-222.97585359000004,1,1,0,0,0,0,0
68,1211.2368543926752,-821.875122232372,-216.27970657331142,1,1,0,0,0,0,0
69,-409.61918215688485,-871.9540894876618,-213.97930463000003,1,1,1,0,0,0,0
70,35.27750190292259,-861.4036864722445,-245.30612481291215,1,1,0,0,0,0,0
71,-323.93653729866736,-769.1974556157677,-223.7982850978463,1,1,1,0,0,0,0
72,-56.05915696578888,-939.850188357193,-223.66679630685744,1,1,0,0,0,0,0
73,-143.0463032599048,-1061.1870292859205,-222.97585359,1,1,0,0,0,0,0
74,-221.2414448360935,-1028.6271139355836,-238.1621572995804,1,1,0,0,0,0,0
75,-738.8508582446611,-1105.4045969078127,-223.79828509784627,1,1,1,1,1,0,0
76,-697.2936988160558,-1523.304138486633,-223.79828509784633,1,1,1,1,1,0,0
77,-399.2244726849453,-1920.0667597845188,-245.3061248129122,1,1,1,1,0,0,0
78,1479.082033983567,-618.6421369112979,-238.1621572995804,0,0,0,0,0,0,0
79,-1772.8371595221856,-1894.1273158481088,-238.16215729958046,1,1,1,1,1,1,0
