sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
102,377.48039146569727,-818.3785016965451,-205.06930463000003,0,0,0,0,0,0,0
103,281.0029465143683,-549.6369835737655,-233.24877268625661,1,0,0,0,0,0,0
104,592.9234812039542,-656.0392479074453,-252.37345795465185,0,0,0,0,0,0,0
105,713.6161484347024,-676.1455483109952,-217.0476084965521,0,0,0,0,0,0,0
106,382.5578099389011,-650.9915743205044,-217.72517698870587,1,0,0,0,0,0,0
107,-45.5608590253842,-977.6822836757656,-259.6207310623113,1,1,1,0,0,0,0
108,-1290.1213587124626,-1799.8925288425621,-241.69829010047437,1,1,1,1,1,1,0
109,-957.3666040561383,-1691.9520667000243,-238.64766056669248,1,1,1,1,1,0,0
110,558.7159694958768,-1129.737740869416,-236.0310884443399,1,1,0,0,0,0,0
111,-239.3863497466466,-1293.2714281671556,-220.1828747304744,1,1,1,1,1,0,0
112,-1331.7154887470854,-1579.9231208215986,-236.94907840939996,1,1,1,1,1,1,0
113,164.59422114237196,-770.6771098392029,-236.9490784093999,0,0,0,0,0,0,0
114,565.4534553792824,-1159.591883318366,-283.7052393130168,1,1,0,0,0,0,0
115,-327.97124295788257,-1270.1154479996012,-219.38811684605471,1,1,1,1,1,0,0
116,606.5511758564928,-1102.365888345484,-251.87253176658353,1,1,1,0,0,0,0
117,-93.89643534305044,-1061.9726276519455,-240.04747717723,1,1,0,0,0,0,0
118,-182.84751895991923,-627.2282140849051,-259.6207310623113,1,1,1,0,0,0,0
119,-91.41729326718385,-928.415542774897,-212.04085359000004,1,1,1,0,0,0,0
120,-13.444033480790583,-1487.1541454770177,-231.62004624000002,1,1,0,0,0,0,0
121,208.1737509255487,-1116.7563683521944,-233.2487726862565,1,1,1,1,0,0,0
122,480.766424332712,-722.3763016105065,-252.3734579546518,1,0,0,0,0,0,0
123,64.03486884255949,-792.6225431325823,-222.776642,1,1,0,0,0,0,0
124,-174.2481802240531,-918.0255111336189,-247.105419974754,1,1,0,0,0,0,0
