track,all_days,all_bets,all_pnl,all_max_dd,all_worst20,pre_days,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_days,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,pre_positive,post_vs_pre
Hshm (AUS),216.0,3316,-20.67600813820667,-216.27806758491795,-164.53739195377972,216.0,3316,-20.67600813820667,-216.27806758491795,-164.53739195377972,,0,,,,0,0,20.67600813820667
Camb (NZL),48.0,554,-35.40889190467697,-100.62064212478384,-101.62064212478384,48.0,554,-35.40889190467697,-100.62064212478384,-101.62064212478384,,0,,,,0,0,35.40889190467697
Addi (NZL),143.0,2750,-44.140546790914186,-260.9554113128571,-135.43890870501235,143.0,2750,-44.140546790914186,-260.9554113128571,-135.43890870501235,,0,,,,0,0,44.140546790914186
Tare (AUS),31.0,544,-48.52283796810835,-60.88259449216082,-30.5428195286832,31.0,544,-48.52283796810835,-60.88259449216082,-30.5428195286832,,0,,,,0,0,48.52283796810835
Nowr (AUS),161.0,2220,-61.79257795286398,-231.1902101017635,-114.76046902656459,161.0,2220,-61.79257795286398,-231.1902101017635,-114.76046902656459,,0,,,,0,0,61.79257795286398
Nort (AUS),73.0,1213,-69.86641648058486,-133.9568549779174,-123.85484368470554,73.0,1213,-69.86641648058486,-133.9568549779174,-123.85484368470554,,0,,,,0,0,69.86641648058486
Mait (AUS),182.0,2133,-72.64331680527752,-218.3779537935479,-89.3955232440696,182.0,2133,-72.64331680527752,-218.3779537935479,-89.3955232440696,,0,,,,0,0,72.64331680527752
Mana (NZL),45.0,600,-86.91230447630409,-111.18703859545033,-86.99001270615571,45.0,600,-86.91230447630409,-111.18703859545033,-86.99001270615571,,0,,,,0,0,86.91230447630409
Dubb (AUS),148.0,2011,-106.15529083230906,-240.5049259330868,-162.30778993560452,148.0,2011,-106.15529083230906,-240.5049259330868,-162.30778993560452,,0,,,,0,0,106.15529083230906
Gard (AUS),367.0,6171,-128.36629204184237,-443.24367096159017,-147.64782149758486,367.0,6171,-128.36629204184237,-443.24367096159017,-147.64782149758486,,0,,,,0,0,128.36629204184237
Yarm,321.0,4548,-128.78970208547963,-171.18871421938087,-121.39730629434007,321.0,4548,-128.78970208547963,-171.18871421938087,-121.39730629434007,,0,,,,0,0,128.78970208547963
Shep (AUS),419.0,7306,-137.54458181447006,-419.3257465470666,-206.4619561106267,419.0,7306,-137.54458181447006,-419.3257465470666,-206.4619561106267,,0,,,,0,0,137.54458181447006
Ball (AUS),430.0,7725,-142.49828350939003,-349.6672602289952,-135.9205808466231,430.0,7725,-142.49828350939003,-349.6672602289952,-135.9205808466231,,0,,,,0,0,142.49828350939003
Dapt (AUS),179.0,2426,-157.25562904279786,-223.59394970972212,-135.83085564438426,179.0,2426,-157.25562904279786,-223.59394970972212,-135.83085564438426,,0,,,,0,0,157.25562904279786
MBdg (AUS),216.0,2837,-181.08541652304683,-329.22824318479815,-151.13841889165008,216.0,2837,-181.08541652304683,-329.22824318479815,-151.13841889165008,,0,,,,0,0,181.08541652304683
Warr (AUS),227.0,3856,-239.9536724121395,-319.2915080321661,-121.37383714213168,227.0,3856,-239.9536724121395,-319.2915080321661,-121.37383714213168,,0,,,,0,0,239.9536724121395
Bend (AUS),398.0,6815,-254.0861606658393,-458.5153533352686,-130.3878430409486,398.0,6815,-254.0861606658393,-458.5153533352686,-130.3878430409486,,0,,,,0,0,254.0861606658393
Laun (AUS),173.0,2663,-257.59394176931,-316.9912710823046,-129.71903796844012,173.0,2663,-257.59394176931,-316.9912710823046,-129.71903796844012,,0,,,,0,0,257.59394176931
Mead (AUS),370.0,6487,-301.83383628049165,-697.9916533115936,-172.78053255676951,370.0,6487,-301.83383628049165,-697.9916533115936,-172.78053255676951,,0,,,,0,0,301.83383628049165
Nott,530.0,8438,-308.0864863117933,-492.53075709978157,-175.30486948176426,530.0,8438,-308.0864863117933,-492.53075709978157,-175.30486948176426,,0,,,,0,0,308.0864863117933
Heal (AUS),455.0,7303,-308.09290982979155,-464.268467972764,-149.14742940428852,455.0,7303,-308.09290982979155,-464.268467972764,-149.14742940428852,,0,,,,0,0,308.09290982979155
Monm,941.0,14373,-391.4626338202441,-786.6278623159611,-173.75388411057256,941.0,14373,-391.4626338202441,-786.6278623159611,-173.75388411057256,,0,,,,0,0,391.4626338202441
Donc,626.0,9455,-420.32764094683404,-480.20682248231566,-143.73914955454154,626.0,9455,-420.32764094683404,-480.20682248231566,-143.73914955454154,,0,,,,0,0,420.32764094683404
Cann (AUS),534.0,9592,-547.4564632616768,-609.3306824117827,-200.72810327313005,534.0,9592,-547.4564632616768,-609.3306824117827,-200.72810327313005,,0,,,,0,0,547.4564632616768
Mand (AUS),549.0,9748,-572.7179586666105,-845.8601270464952,-205.11788305977387,549.0,9748,-572.7179586666105,-845.8601270464952,-205.11788305977387,,0,,,,0,0,572.7179586666105
