track,all_days,all_bets,all_pnl,all_max_dd,all_worst20,pre_days,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_days,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,pre_positive,post_vs_pre
Geel (AUS),376.0,6670,88.61341385038014,-314.7068001677869,-137.7267445614837,376.0,6670,88.61341385038014,-314.7068001677869,-137.7267445614837,,0,,,,0,1,-88.61341385038014
Newc,675.0,10923,53.49193622331401,-312.2292408398418,-145.7462973770003,675.0,10923,53.49193622331401,-312.2292408398418,-145.7462973770003,,0,,,,0,1,-53.49193622331401
Bath (AUS),191.0,2712,34.16589211804319,-194.84441555895938,-75.55711577530813,191.0,2712,34.16589211804319,-194.84441555895938,-75.55711577530813,,0,,,,0,1,-34.16589211804319
PBarr,618.0,9335,31.8168815927865,-369.5507668132951,-159.05502023791547,618.0,9335,31.8168815927865,-369.5507668132951,-159.05502023791547,,0,,,,0,1,-31.8168815927865
Graf (AUS),158.0,2313,30.256026131537283,-132.24288446609785,-107.73325911319762,158.0,2313,30.256026131537283,-132.24288446609785,-107.73325911319762,,0,,,,0,1,-30.256026131537283
Bund (AUS),115.0,1539,23.892293687328287,-213.79113959230205,-142.8718499346835,115.0,1539,23.892293687328287,-213.79113959230205,-142.8718499346835,,0,,,,0,1,-23.892293687328287
Capa (AUS),162.0,2350,23.19071407000905,-262.5657373543233,-167.28815550030555,162.0,2350,23.19071407000905,-262.5657373543233,-167.28815550030555,,0,,,,0,1,-23.19071407000905
Pboro,119.0,1800,23.0385046867247,-177.29756888055823,-140.23841592112677,119.0,1800,23.0385046867247,-177.29756888055823,-140.23841592112677,,0,,,,0,1,-23.0385046867247
CPark,892.0,13146,21.999040149775993,-399.9011218039926,-141.4290578232974,892.0,13146,21.999040149775993,-399.9011218039926,-141.4290578232974,,0,,,,0,1,-21.999040149775993
Gosf (AUS),155.0,2059,21.80465684643776,-107.28654100198003,-78.63152419161868,155.0,2059,21.80465684643776,-107.28654100198003,-78.63152419161868,,0,,,,0,1,-21.80465684643776
Bull (AUS),159.0,1919,19.840142565891803,-145.14209168587172,-139.55826034987172,159.0,1919,19.840142565891803,-145.14209168587172,-139.55826034987172,,0,,,,0,1,-19.840142565891803
BVue,233.0,3935,10.941947168507909,-226.00540559913554,-122.95833168894657,233.0,3935,10.941947168507909,-226.00540559913554,-122.95833168894657,,0,,,,0,1,-10.941947168507909
Mkau (NZL),53.0,744,4.549481296716188,-68.76830628884872,-46.098473879810356,53.0,744,4.549481296716188,-68.76830628884872,-46.098473879810356,,0,,,,0,1,-4.549481296716188
Poole,228.0,3562,3.065287327031143,-217.4705767457782,-108.1228611257844,228.0,3562,3.065287327031143,-217.4705767457782,-108.1228611257844,,0,,,,0,1,-3.065287327031143
Temo (AUS),35.0,502,-6.796096007172428,-56.86681744853075,-16.642388817809376,35.0,502,-6.796096007172428,-56.86681744853075,-16.642388817809376,,0,,,,0,0,6.796096007172428
WPrk (AUS),334.0,4729,-12.581066626584573,-345.76859743707354,-131.21674750668188,334.0,4729,-12.581066626584573,-345.76859743707354,-131.21674750668188,,0,,,,0,0,12.581066626584573
MGam (AUS),277.0,4315,-14.901643715519924,-310.9687926055422,-123.62489572503438,277.0,4315,-14.901643715519924,-310.9687926055422,-123.62489572503438,,0,,,,0,0,14.901643715519924
Gawl (AUS),357.0,5230,-14.964198590565758,-246.66313206758863,-209.15442039587558,357.0,5230,-14.964198590565758,-246.66313206758863,-209.15442039587558,,0,,,,0,0,14.964198590565758
