track,all_bets,all_pnl,all_max_dd,all_worst20,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,post_profit_dd_ratio,all_profit_dd_ratio
Valley,2855.0,-139.55772508,-226.52728352,-150.95604092000002,,,,,2855.0,-139.55772508,-226.52728352,-150.95604092000002,0,-0.6160746860661424,-0.6160746860661424
Nottingham,21438.0,-643.8582361576969,-1037.1268054894074,-191.06772757926257,10652.0,-462.26487101119875,-591.55871345566,-175.30486948176426,10786.0,-181.59336514649806,-497.4960818753578,-191.0677275792626,0,-0.3650146639586888,-0.6208095603640946
Crayford,27793.0,774.9815060472001,-733.5491284718531,-159.71233865944544,17308.0,1062.923152069572,-244.12003285538208,-146.30520961235834,10485.0,-287.9416460223721,-733.5491284718534,-159.71233865944532,0,-0.3925321902054724,1.0564820759335642
Perry Barr,21464.0,46.43399725613631,-461.1711050667309,-159.05502023791547,11631.0,487.61464138634483,-369.5507668132951,-159.05502023791547,9833.0,-441.18064413020863,-461.171105066731,-157.93706179000003,0,-0.9566528329357717,0.10068713487463046
Monmore,34359.0,-679.7929377348999,-1054.6938480868398,-180.48142538999997,18103.0,-199.48613960924308,-786.6278623159611,-173.75388411057256,16256.0,-480.3067981256567,-830.1771983499998,-180.48142539,0,-0.5785593715176468,-0.6445405355952433
Oxford,7488.0,-558.8351670866654,-612.0205968566656,-130.0497957,,,,,7488.0,-558.8351670866654,-612.0205968566656,-130.0497957,0,-0.9130986276554084,-0.9130986276554084
Sunderland,23845.0,-438.25803396277456,-1000.5966161375204,-179.12348496357072,12479.0,460.17093912908706,-253.37306693588803,-179.12348496357072,11366.0,-898.4289730918617,-1000.5966161375206,-148.63145204727186,0,-0.8978932754739427,-0.4379967180526034
Kinsl,6373.0,261.63453429429904,-227.51310757862078,-130.50101749222443,6373.0,261.63453429429904,-227.51310757862078,-130.50101749222443,,,,,0,,1.149975652299009
Towc,2396.0,197.0017124582182,-106.10302680585534,-87.89913655788976,2396.0,197.0017124582182,-106.10302680585534,-87.89913655788976,,,,,0,,1.856702097845776
Pgran,1589.0,104.36214715387612,-123.68134637289046,-95.5415914329162,1589.0,104.36214715387612,-123.68134637289046,-95.5415914329162,,,,,0,,0.8437986019268554
Shelb,339.0,61.429969156542256,-42.7666388973195,59.011334584053536,339.0,61.429969156542256,-42.7666388973195,59.011334584053536,,,,,0,,1.4363992761748812
Shawf,43.0,38.03192203163867,0.0,38.03192203163867,43.0,38.03192203163867,0.0,38.03192203163867,,,,,0,,
Geel (Aus),15.0,25.919489169519917,0.0,25.919489169519917,15.0,25.919489169519917,0.0,25.919489169519917,,,,,0,,
